,ra,dec,g,r,i,z
0,109.122445357894,38.2869505068866,18.72065,18.06705,17.82491,17.71432
1,109.12244842925,38.2869560143387,18.71915,18.06631,17.82488,17.72041
2,109.130309432112,38.3137989122468,18.18267,17.32878,17.0265,16.84368
3,109.130309432112,38.3137989122468,18.18268,17.32878,17.0265,16.84373
4,109.130312829143,38.3138042039291,18.18378,17.3293,17.02534,16.84739
5,109.133395953657,38.2765676561845,13.15526,12.37812,12.09231,11.94919
6,109.133395969471,38.2765676510758,13.15526,12.37812,12.09231,11.94921
7,109.133399091335,38.2765674995589,13.15545,12.37821,12.09229,11.94919
8,109.133399101872,38.2765674972963,13.16108,12.38023,12.10388,11.94921
9,109.135541684736,38.3104237558408,18.14064,17.87557,17.78928,17.80802
10,109.135544601974,38.3104285597154,18.13717,17.88014,17.77976,17.80573
11,109.138803155584,38.3100643814889,14.70667,14.29778,15.51815,14.11223
12,109.140814859977,38.2713890036333,18.49116,17.71261,17.42686,17.29111
13,109.140817082079,38.2713938774959,18.49114,17.71207,17.42697,17.29916
14,109.14109581618,38.2878201445443,17.7948,17.21503,17.00276,16.92333
15,109.141095826096,38.2878201631691,17.79506,17.2152,17.00298,16.92341
16,109.14109810776,38.2878249507239,17.79427,17.2149,17.0012,16.92331
17,109.144120173836,38.3023000196669,14.72658,14.8454,11.85889,12.4211
18,109.144124635193,38.3022998412395,14.7066,14.83143,11.85751,12.42112
19,109.14565730909,38.3073381715079,13.08754,14.14153,12.73377,12.75096
20,109.145668518005,38.3073378411616,12.51581,15.23591,16.43085,12.75153
21,109.156150151572,38.2919184034882,13.36644,12.47228,12.10148,11.88595
22,109.156152844802,38.2919184492964,13.36751,12.47254,12.10296,11.88593
23,109.156152844805,38.2919184492962,13.36751,12.47254,12.10296,11.88594
24,109.158674680331,38.3497482004896,17.3409,16.87906,16.71855,16.6722
25,109.158678522826,38.3497528118129,17.34151,16.87979,16.71809,16.67429
26,109.159188515993,38.3277082008971,19.90849,19.07894,18.76942,18.71186
27,109.159188515999,38.3277082008969,19.90872,19.07896,18.76944,18.71215
28,109.159191403998,38.3277126425731,19.91055,19.08126,18.77254,18.73118
29,109.162575362534,38.3295445599384,16.76595,16.24824,16.06104,15.99074
